Facebook,Aplicación para no hacer nada,12-12-2012,4,aplicacion.apk,132,12,Desarrollador 3,http://localhost/playstore/img/icono1.png
Youtube,Para ver enchufetv,12-12-2012,3,asdlakfdssagfsdf,123,123,Desarrollador 3,http://localhost/playstore/img/icono2.png
Aplicacion X,Aplicacion X,12-12-2012,5,sdfsdf,234,23,Desarrollador 3,http://localhost/playstore/img/icono3.png
,,,,,,,1,http://localhost/playstore/img/icono1.png
sdgfs,sdfgsdf,ds,45,dfsgsdf,453,345,1,http://localhost/playstore/img/icono2.png
asdf,asdfas,dfasd,34,sdfasdf,34,34,2,http://localhost/playstore/img/icono3.png
cdzx,czxc,sddfs,2,dfasdf,23,23,2,http://localhost/playstore/img/icono1.png
sdfg,sdfg,sdfg,df,sf,sdfg,543,2,http://localhost/playstore/img/icono1.png
sdfg,dsfg,dfsg,sdfg,dsfg,gsdf,5,1,http://localhost/playstore/img/icono1.png
dg,hg,dfhg,fdhg,dhg,dfhg,dfhg,1,http://localhost/playstore/img/icono3.png
asdf,sadf,asdf,sadfasd,asdfasd,fsadf,34,1,http://localhost/playstore/img/icono1.png
tyerty,erty,erty,45,gfhdgf,456,,1,http://localhost/playstore/img/icono2.png
tyerty,erty,erty,45,gfhdgf,456,,1,http://localhost/playstore/img/icono2.png
fg,sdg,sdf,sdfg,sdfg,dsfg,534,1,http://localhost/playstore/img/icono1.png
sf,dsfg,sdfg,sdfg,sdfg,dsfg,34,1,http://localhost/playstore/img/icono1.png
sdfg,dsfg,sdfg,sdfg,sdfg,dfg,,1,http://localhost/playstore/img/icono2.png
fdg,dsfg,sdf,sdfg,dfsg,sdfg,56,1,http://localhost/playstore/img/icono4.png
sdfg,dsfgsd,fgsdf,dfgsdf,gsdfg,dsfg,43,1,http://localhost/playstore/img/icono1.png
sdfg,dsfgsd,fgsdf,dfgsdf,gsdfg,dsfg,43,1,http://localhost/playstore/img/icono1.png
sdfg,dsfgsd,fgsdf,dfgsdf,gsdfg,dsfg,43,1,http://localhost/playstore/img/icono1.png
sdfg,dsfgsd,fgsdf,dfgsdf,gsdfg,dsfg,43,1,http://localhost/playstore/img/icono1.png
wret,ewrte,rtew,tewrt,ewrt,ert,345,1,http://localhost/playstore/img/icono1.png
wret,ewrte,rtew,tewrt,ewrt,ert,345,1,http://localhost/playstore/img/icono1.png
